Time,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,heartratebpm/value
2021-08-22T13:17:27Z,38.4048759,-78.8609936,405.4339454,
2021-08-22T13:17:29Z,38.4047721,-78.8611791,404.8782187,
2021-08-22T13:17:31Z,38.4046906,-78.8613759,404.6595543,
2021-08-22T13:17:33Z,38.4046171,-78.8615578,404.7831144,
2021-08-22T13:17:35Z,38.4045531,-78.8617177,405.2998509,
2021-08-22T13:17:37Z,38.4045006,-78.8618488,405.7126663,
2021-08-22T13:17:39Z,38.4044646,-78.8619515,406.0568328,
2021-08-22T13:17:41Z,38.4044328,-78.8620259,406.3646139,
2021-08-22T13:17:43Z,38.4044163,-78.8620741,406.475392,
2021-08-22T13:17:45Z,38.4044043,-78.8621037,406.7492386,
2021-08-22T13:17:47Z,38.4044059,-78.8621019,406.8139584,
2021-08-22T13:17:50Z,38.4043948,-78.8621351,406.6250553,
2021-08-22T13:17:51Z,38.4043947,-78.8621718,406.8205185,
2021-08-22T13:17:54Z,38.4043702,-78.8622849,407.0068504,
2021-08-22T13:17:56Z,38.404337,-78.8623774,406.6489149,
2021-08-22T13:17:58Z,38.404281,-78.8625117,406.2921909,
2021-08-22T13:18:00Z,38.4042201,-78.8626309,405.828886,
2021-08-22T13:18:02Z,38.4041814,-78.8627732,405.1051106,
2021-08-22T13:18:04Z,38.404126,-78.8629189,404.5512288,
2021-08-22T13:18:06Z,38.4040632,-78.8630896,403.7902321,
2021-08-22T13:18:08Z,38.4039925,-78.8632772,403.0596476,
2021-08-22T13:18:10Z,38.4039254,-78.8634622,402.4234033,
2021-08-22T13:18:12Z,38.4038763,-78.8636613,401.7950771,
2021-08-22T13:18:14Z,38.4038303,-78.8638684,400.918911,
2021-08-22T13:18:16Z,38.4038007,-78.8640758,400.3361457,
2021-08-22T13:18:18Z,38.4037847,-78.8642967,399.8931456,
2021-08-22T13:18:20Z,38.4037819,-78.864521,399.347709,
2021-08-22T13:18:22Z,38.4037938,-78.8647438,399.0436791,
2021-08-22T13:18:24Z,38.4038139,-78.8649602,398.9257913,
2021-08-22T13:18:26Z,38.403848,-78.8651639,398.6504782,
2021-08-22T13:18:28Z,38.4038903,-78.865367,398.3989602,
2021-08-22T13:18:30Z,38.4039384,-78.8655661,398.6725749,
2021-08-22T13:18:32Z,38.4039913,-78.8657591,399.0728077,
2021-08-22T13:18:34Z,38.4040361,-78.865934,399.4605793,
2021-08-22T13:18:36Z,38.4040819,-78.8661046,399.7786317,
2021-08-22T13:18:38Z,38.404127,-78.8662661,400.1203797,
2021-08-22T13:18:40Z,38.4041706,-78.866423,400.3811394,
2021-08-22T13:18:42Z,38.4042164,-78.8665773,400.5206686,
2021-08-22T13:18:44Z,38.4042719,-78.8667338,400.743158,
2021-08-22T13:18:46Z,38.4043184,-78.8668785,400.959783,
2021-08-22T13:18:48Z,38.4043649,-78.8670311,401.2142716,
2021-08-22T13:18:50Z,38.4044043,-78.8671658,401.3625897,
2021-08-22T13:18:52Z,38.4044393,-78.8672985,401.4036749,
2021-08-22T13:18:54Z,38.4044769,-78.8674403,401.2018458,
2021-08-22T13:18:56Z,38.4045343,-78.8675513,401.3198654,
2021-08-22T13:18:58Z,38.404589,-78.8676826,401.3397085,
2021-08-22T13:19:00Z,38.4046323,-78.8678213,401.3420207,
2021-08-22T13:19:02Z,38.404673,-78.8679554,400.9849513,
2021-08-22T13:19:04Z,38.4047177,-78.8681044,400.8907818,
2021-08-22T13:19:06Z,38.4047645,-78.8682559,400.7789534,
2021-08-22T13:19:08Z,38.4048117,-78.868407,400.5113631,
2021-08-22T13:19:10Z,38.4048619,-78.8685674,400.4690654,
2021-08-22T13:19:12Z,38.4049053,-78.8687236,400.2571033,
2021-08-22T13:19:14Z,38.404948,-78.8688802,400.2364307,
2021-08-22T13:19:16Z,38.4050007,-78.8690222,400.2889317,
